Date,Forecast_Sales
2024-01-02,14762.544794117648
2024-01-03,14762.544794117648
2024-01-04,14762.544794117648
2024-01-05,14762.544794117648
2024-01-06,14762.544794117648
2024-01-07,14762.544794117648
2024-01-08,14762.544794117648
2024-01-09,14762.544794117648
2024-01-10,14762.544794117648
2024-01-11,14762.544794117648
2024-01-12,14762.544794117648
2024-01-13,14762.544794117648
2024-01-14,14762.544794117648
2024-01-15,14762.544794117648
2024-01-16,14762.544794117648
2024-01-17,14762.544794117648
2024-01-18,14762.544794117648
2024-01-19,14762.544794117648
2024-01-20,14762.544794117648
2024-01-21,14762.544794117648
2024-01-22,14762.544794117648
2024-01-23,14762.544794117648
2024-01-24,14762.544794117648
2024-01-25,14762.544794117648
2024-01-26,14762.544794117648
2024-01-27,14762.544794117648
2024-01-28,14762.544794117648
2024-01-29,14762.544794117648
2024-01-30,14762.544794117648
2024-01-31,14762.544794117648
